Scenario,Version,Game,Measure,value
balanced,Working,2022-04-09_Houston_Astros_at_Los_Angeles_Angels,Wind_MPH,12.0
balanced,Working,2022-04-09_Houston_Astros_at_Los_Angeles_Angels,Is_Day_Game,0.0
balanced,Working,2022-04-09_Houston_Astros_at_Los_Angeles_Angels,Is_Dome,0.0
balanced,Working,2022-04-09_Houston_Astros_at_Los_Angeles_Angels,Elevation_Ft,151.0
balanced,Working,2022-04-10_Athletics_at_Philadelphia_Phillies,Total_Score,5
balanced,Working,2022-04-10_Athletics_at_Philadelphia_Phillies,Weather_Temp,48
balanced,Working,2022-04-10_Athletics_at_Philadelphia_Phillies,Wind_MPH,17.0
balanced,Working,2022-04-10_Athletics_at_Philadelphia_Phillies,Is_Day_Game,1.0
balanced,Working,2022-04-10_Athletics_at_Philadelphia_Phillies,Is_Dome,0.0
balanced,Working,2022-04-10_Athletics_at_Philadelphia_Phillies,Elevation_Ft,20.0
balanced,Working,2022-04-10_Baltimore_Orioles_at_Tampa_Bay_Rays,Total_Score,8
balanced,Working,2022-04-10_Baltimore_Orioles_at_Tampa_Bay_Rays,Weather_Temp,72
balanced,Working,2022-04-10_Baltimore_Orioles_at_Tampa_Bay_Rays,Wind_MPH,0.0
balanced,Working,2022-04-10_Baltimore_Orioles_at_Tampa_Bay_Rays,Is_Day_Game,1.0
balanced,Working,2022-04-10_Baltimore_Orioles_at_Tampa_Bay_Rays,Is_Dome,1.0
balanced,Working,2022-04-10_Baltimore_Orioles_at_Tampa_Bay_Rays,Elevation_Ft,15.0
balanced,Working,2022-04-10_Chicago_White_Sox_at_Detroit_Tigers,Total_Score,11
balanced,Working,2022-04-10_Chicago_White_Sox_at_Detroit_Tigers,Weather_Temp,48
balanced,Working,2022-04-10_Chicago_White_Sox_at_Detroit_Tigers,Wind_MPH,7.0
balanced,Working,2022-04-10_Chicago_White_Sox_at_Detroit_Tigers,Is_Day_Game,1.0
balanced,Working,2022-04-10_Chicago_White_Sox_at_Detroit_Tigers,Is_Dome,0.0
balanced,Working,2022-04-10_Chicago_White_Sox_at_Detroit_Tigers,Elevation_Ft,600.0
balanced,Working,2022-04-10_New_York_Mets_at_Washington_Nationals,Total_Score,6
balanced,Working,2022-04-10_New_York_Mets_at_Washington_Nationals,Weather_Temp,47
balanced,Working,2022-04-10_New_York_Mets_at_Washington_Nationals,Wind_MPH,14.0
balanced,Working,2022-04-10_New_York_Mets_at_Washington_Nationals,Is_Day_Game,1.0
balanced,Working,2022-04-10_New_York_Mets_at_Washington_Nationals,Is_Dome,0.0
balanced,Working,2022-04-10_New_York_Mets_at_Washington_Nationals,Elevation_Ft,35.0
balanced,Working,2022-04-10_Cincinnati_Reds_at_Atlanta_Braves,Total_Score,9
balanced,Working,2022-04-10_Cincinnati_Reds_at_Atlanta_Braves,Weather_Temp,68
balanced,Working,2022-04-10_Cincinnati_Reds_at_Atlanta_Braves,Wind_MPH,1.0
balanced,Working,2022-04-10_Cincinnati_Reds_at_Atlanta_Braves,Is_Day_Game,1.0
balanced,Working,2022-04-10_Cincinnati_Reds_at_Atlanta_Braves,Is_Dome,0.0
balanced,Working,2022-04-10_Cincinnati_Reds_at_Atlanta_Braves,Elevation_Ft,1001.0
balanced,Working,2022-04-10_Texas_Rangers_at_Toronto_Blue_Jays,Total_Score,18
balanced,Working,2022-04-10_Texas_Rangers_at_Toronto_Blue_Jays,Weather_Temp,68
balanced,Working,2022-04-10_Texas_Rangers_at_Toronto_Blue_Jays,Wind_MPH,0.0
balanced,Working,2022-04-10_Texas_Rangers_at_Toronto_Blue_Jays,Is_Day_Game,1.0
balanced,Working,2022-04-10_Texas_Rangers_at_Toronto_Blue_Jays,Is_Dome,1.0
balanced,Working,2022-04-10_Texas_Rangers_at_Toronto_Blue_Jays,Elevation_Ft,270.0
balanced,Working,2022-04-10_Cleveland_Guardians_at_Kansas_City_Royals,Total_Score,20
balanced,Working,2022-04-10_Cleveland_Guardians_at_Kansas_City_Royals,Weather_Temp,75
balanced,Working,2022-04-10_Cleveland_Guardians_at_Kansas_City_Royals,Wind_MPH,7.0
balanced,Working,2022-04-10_Cleveland_Guardians_at_Kansas_City_Royals,Is_Day_Game,1.0
balanced,Working,2022-04-10_Cleveland_Guardians_at_Kansas_City_Royals,Is_Dome,0.0
